Namespace(augment=False, batchSize=32, beta1=0.5, cuda=True, data='lung', decay_lr=False, dropout=0.5, earlystop=False, experiment='sb37', imgSize=299, init='normal', lr=0.001, metadata=False, method='average', model='', nc=3, ngpu=1, niter=25, nonlinearity='relu', optimizer='Adam')

old comet version (0.1.68) detected. current: 1.0.10 please update your comet lib with command: `pip install --no-cache-dir --upgrade comet_ml`

Experiment is live on comet.ml https://www.comet.ml/charrrrtreuse/general/30070a2e0f964a85af9689ab1d61bcf7

Random Seed:  5033
Loading from: TCGA-LUAD
Loading from: TCGA-LUSC
Loading from: Solid_Tissue_Normal
Finished loading train dataset: 461823 samples
Loading from: TCGA-LUAD
Loading from: TCGA-LUSC
Loading from: Solid_Tissue_Normal
Finished loading valid dataset: 105872 samples
Class encoding:
{'Solid_Tissue_Normal': 0, 'TCGA-LUAD': 1, 'TCGA-LUSC': 2}
cancer_CNN (
  (conv1): BasicConv2d (
    (conv): Conv2d(3, 16, kernel_size=(5, 5), stride=(2, 2), padding=(1, 1))
    (bn): BatchNorm2d(16, eps=0.001, momentum=0.1, affine=True)
    (relu): ReLU ()
    (dropout): Dropout (p = 0.5)
  )
  (conv2): BasicConv2d (
    (conv): Conv2d(16, 32, kernel_size=(3, 3), stride=(1, 1))
    (bn): BatchNorm2d(32, eps=0.001, momentum=0.1, affine=True)
    (relu): ReLU ()
    (dropout): Dropout (p = 0.5)
  )
  (conv3): BasicConv2d (
    (conv): Conv2d(32, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (bn): BatchNorm2d(64, eps=0.001, momentum=0.1, affine=True)
    (relu): ReLU ()
    (dropout): Dropout (p = 0.5)
  )
  (conv4): BasicConv2d (
    (conv): Conv2d(64, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (bn): BatchNorm2d(64, eps=0.001, momentum=0.1, affine=True)
    (relu): ReLU ()
    (dropout): Dropout (p = 0.5)
  )
  (conv5): BasicConv2d (
    (conv): Conv2d(64, 128, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (bn): BatchNorm2d(128, eps=0.001, momentum=0.1, affine=True)
    (relu): ReLU ()
    (dropout): Dropout (p = 0.5)
  )
  (conv6): BasicConv2d (
    (conv): Conv2d(128, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (bn): BatchNorm2d(64, eps=0.001, momentum=0.1, affine=True)
    (relu): ReLU ()
    (dropout): Dropout (p = 0.5)
  )
  (linear): Linear (5184 -> 3)
)
No early stopping implemented
Starting training
[0/25][1/14432] Training Loss: 1.108947 
[0/25][2/14432] Training Loss: 1.065863 
[0/25][3/14432] Training Loss: 1.364681 
[0/25][4/14432] Training Loss: 1.126199 
[0/25][5/14432] Training Loss: 1.098358 
[0/25][6/14432] Training Loss: 1.133455 
[0/25][7/14432] Training Loss: 1.058965 
[0/25][8/14432] Training Loss: 1.170687 
[0/25][9/14432] Training Loss: 1.110518 
[0/25][10/14432] Training Loss: 1.058890 
[0/25][11/14432] Training Loss: 1.055317 
[0/25][12/14432] Training Loss: 1.079623 
[0/25][13/14432] Training Loss: 1.116066 
[0/25][14/14432] Training Loss: 1.203267 
[0/25][15/14432] Training Loss: 1.100230 
[0/25][16/14432] Training Loss: 1.044004 
[0/25][17/14432] Training Loss: 1.069364 
[0/25][18/14432] Training Loss: 1.069916 
[0/25][19/14432] Training Loss: 1.055871 
[0/25][20/14432] Training Loss: 1.109756 
[0/25][21/14432] Training Loss: 1.039651 
[0/25][22/14432] Training Loss: 1.060574 
[0/25][23/14432] Training Loss: 0.997368 
[0/25][24/14432] Training Loss: 1.082584 
[0/25][25/14432] Training Loss: 1.100784 
[0/25][26/14432] Training Loss: 1.048395 
[0/25][27/14432] Training Loss: 1.033867 
[0/25][28/14432] Training Loss: 0.982932 
[0/25][29/14432] Training Loss: 0.875750 
[0/25][30/14432] Training Loss: 1.074206 
[0/25][31/14432] Training Loss: 1.049975 
[0/25][32/14432] Training Loss: 1.101727 
[0/25][33/14432] Training Loss: 0.996789 
[0/25][34/14432] Training Loss: 1.119296 
[0/25][35/14432] Training Loss: 0.945121 
[0/25][36/14432] Training Loss: 0.946894 
[0/25][37/14432] Training Loss: 0.973576 
[0/25][38/14432] Training Loss: 0.970789 
[0/25][39/14432] Training Loss: 0.847789 
[0/25][40/14432] Training Loss: 0.914622 
[0/25][41/14432] Training Loss: 0.971139 
[0/25][42/14432] Training Loss: 1.163639 
[0/25][43/14432] Training Loss: 1.060088 
[0/25][44/14432] Training Loss: 0.922462 
[0/25][45/14432] Training Loss: 0.960703 
[0/25][46/14432] Training Loss: 1.057839 
[0/25][47/14432] Training Loss: 1.134798 
[0/25][48/14432] Training Loss: 1.126360 
[0/25][49/14432] Training Loss: 1.110649 
[0/25][50/14432] Training Loss: 0.953172 
[0/25][51/14432] Training Loss: 1.053969 
[0/25][52/14432] Training Loss: 1.039620 
[0/25][53/14432] Training Loss: 0.928396 
[0/25][54/14432] Training Loss: 0.934675 
[0/25][55/14432] Training Loss: 1.048409 
